Source,Target,Type
Market437,Portal El Dorado,Undirected
Market438,Minuto de Dios,Undirected
Market439,Quirigua,Undirected
Market440,Portal de la 80,Undirected
Market441,Portal de la 80,Undirected
Market442,Portal de la 80,Undirected
Market443,Portal de la 80,Undirected
Market444,Portal de Suba,Undirected
Market445,AV. Cali,Undirected
Market446,Suba - AV. Boyacá,Undirected
Market447,Portal de Suba,Undirected
Market448,Granja - Carrera 77,Undirected
Market449,Calle 187,Undirected
Market450,21 Ángeles,Undirected
Market451,Portal de Suba,Undirected
Market452,Portal de Suba,Undirected
Market453,La Campiña,Undirected
Market454,Portal de Suba,Undirected
Market455,Calle 146,Undirected
Market456,Suba - TV. 91,Undirected
Market457,La Campiña,Undirected
Market458,La Campiña,Undirected
Market459,Carrera 47,Undirected
Market460,NQS - Calle 75,Undirected
Market461,Carrera 47,Undirected
Market462,Calle 85,Undirected
Market463,U. Nacional,Undirected
Market464,Recinto Ferial,Undirected
Market465,San Fason Carrera 22,Undirected
Market466,Ricaurte - NQS,Undirected
Market467,Nariño,Undirected
Market468,Restrepo,Undirected
Market469,Zona Industrial,Undirected
Market470,Zona Industrial,Undirected
Market471,SENA,Undirected
Market472,Zona Industrial,Undirected
Market473,Bicentenario,Undirected
Market474,Consuelo,Undirected
Market475,Quiroga,Undirected
Market476,Consuelo,Undirected
Market477,Olaya,Undirected
Market478,Quiroga,Undirected
Market479,Portal de Usme,Undirected
Market480,Portal de Usme,Undirected
Market481,Portal de Usme,Undirected
Market482,Portal de Usme,Undirected
Market483,Portal de Usme,Undirected
Market484,Portal de Usme,Undirected
Market485,Portal de Usme,Undirected
Market486,Portal de Usme,Undirected
Market487,Portal de Usme,Undirected
Work488,Calle 187,Undirected
Work489,Terminal,Undirected
Work490,Calle 187,Undirected
Work491,Calle 161,Undirected
Work492,Calle 106,Undirected
Work493,Calle 106,Undirected
Work494,Calle 127,Undirected
Work495,Calle 161,Undirected
Work496,Héroes,Undirected
Work497,Calle 100,Undirected
Work498,Flores,Undirected
Work499,Las Aguas,Undirected
Work500,Universidades,Undirected
Work501,Portal 20 de Julio,Undirected
Work502,Portal 20 de Julio,Undirected
Work503,Portal 20 de Julio,Undirected
Work504,Portal 20 de Julio,Undirected
Work505,Portal 20 de Julio,Undirected
Work506,Portal 20 de Julio,Undirected
Work507,Portal 20 de Julio,Undirected
Work508,Portal de Usme,Undirected
Work509,Portal de Usme,Undirected
Work510,Portal de Usme,Undirected
Work511,Portal de Usme,Undirected
Work512,Portal de Usme,Undirected
Work513,Portal de Usme,Undirected
Work514,Portal de Usme,Undirected
Work515,Alquería,Undirected
Work516,Biblioteca,Undirected
Work517,Santa Lucía,Undirected
Work518,Socorro,Undirected
Work519,Portal de las Américas,Undirected
Work520,Portal de las Américas,Undirected
Work521,San Mateo,Undirected
Work522,Portal de las Américas,Undirected
Work523,Portal de las Américas,Undirected
Work524,Portal de las Américas,Undirected
Work525,Bosa,Undirected
Work526,Bosa,Undirected
Work527,Portal de las Américas,Undirected
Work528,Portal de las Américas,Undirected
Work529,Madelena,Undirected
Work530,Transversal 86,Undirected
Work531,Transversal 86,Undirected
Work532,Perdomo,Undirected
Work533,Transversal 86,Undirected
Work534,Mandalay,Undirected
Work535,Transversal 86,Undirected
Work536,Biblioteca Tintal,Undirected
Work537,Transversal 86,Undirected
Work538,Portal de las Américas,Undirected
Work539,Banderas,Undirected
Work540,Transversal 86,Undirected
Work541,Transversal 86,Undirected
Work542,Patio Bonito,Undirected
Work543,Banderas,Undirected
Work544,Transversal 86,Undirected
Work545,Banderas,Undirected
Work546,Portal El Dorado,Undirected
Work547,Portal El Dorado,Undirected
Work548,Portal El Dorado,Undirected
Work549,Portal El Dorado,Undirected
Work550,Portal El Dorado,Undirected
Work551,Portal El Dorado,Undirected
Work552,Portal El Dorado,Undirected
Work553,Carrera 90,Undirected
Work554,Portal de la 80,Undirected
Work555,Quirigua,Undirected
Work556,Quirigua,Undirected
Work557,Granja - Carrera 77,Undirected
Work558,Portal de la 80,Undirected
Work559,Granja - Carrera 77,Undirected
Work560,Portal El Dorado,Undirected
Work561,AV. Cali,Undirected
Work562,Quirigua,Undirected
Work563,AV. Boyacá,Undirected
Work564,Quirigua,Undirected
Work565,Quirigua,Undirected
Work566,Terminal,Undirected
Work567,La Campiña,Undirected
Work568,Toberín,Undirected
Work569,Gratamira,Undirected
Work570,Terminal,Undirected
Work571,21 Ángeles,Undirected
Work572,Gratamira,Undirected
Work573,Portal de Suba,Undirected
Work574,Terminal,Undirected
Work575,21 Ángeles,Undirected
Work576,Terminal,Undirected
Work577,Gratamira,Undirected
Work578,Portal de Suba,Undirected
Work579,Terminal,Undirected
Work580,Gratamira,Undirected
Work581,Terminal,Undirected
Work582,Granja - Carrera 77,Undirected
Work583,Terminal,Undirected
Work584,AV. 68,Undirected
Work585,AV. Chile,Undirected
Work586,AV. Chile,Undirected
Work587,Calle 72,Undirected
Work588,Gobernación,Undirected
Work589,U. Nacional,Undirected
Work590,Centro Memoria,Undirected
Work591,San Fason Carrera 22,Undirected
Work592,Tygua - San José,Undirected
Work593,Fucha,Undirected
Work594,Nariño,Undirected
Work595,Carrera 43,Undirected
Work596,Américas - Carrera 53A,Undirected
Work597,Carrera 43,Undirected
Work598,Pradera,Undirected
Work599,Museo del Oro,Undirected
Work600,Olaya,Undirected
Work601,Socorro,Undirected
Work602,Molinos,Undirected
Work603,Molinos,Undirected
Work604,Molinos,Undirected
Work605,Portal 20 de Julio,Undirected
Work606,Portal de Usme,Undirected
Work607,Portal de Usme,Undirected
Work608,Portal de Usme,Undirected
Work609,Portal de Usme,Undirected
Work610,Portal de Usme,Undirected
Work611,Portal de Usme,Undirected
Work612,Portal de Usme,Undirected
Work613,Portal de Usme,Undirected
Work614,Portal de Usme,Undirected
Work615,Portal de Usme,Undirected
Work616,Portal del Tunal,Undirected
Terminal617,Portal El Dorado,Undirected
Terminal618,AV. Rojas,Undirected
